id,name,team,college,hs,positions,from,to,games,approx_value,win_shares,active,jersey_current,jerseys,awards_json,recent_starter_games
nfl_matt_prater,Matt Prater,BUF,Central Florida,,K,2012,2025,0,0,,true,15,15,{},0
nfl_joe_flacco,Joe Flacco,CLE,Delaware,,QB,2012,2025,0,0,,true,15,15,{},6
nfl_matt_ryan,Matt Ryan,,Boston College,,QB,2014,2014,0,0,,false,,,{},0
nfl_robbie_gould,Robbie Gould,,Penn State,,K,2012,2012,0,0,,false,,,{},0
nfl_mason_crosby,Mason Crosby,,Colorado,,K,2013,2013,0,0,,false,,,{},0
nfl_chad_henne,Chad Henne,,Michigan,,QB,2015,2015,0,0,,false,,,{},0
nfl_aaron_rodgers,Aaron Rodgers,PIT,California,,QB,2011,2025,0,0,,true,8,8,{},17
nfl_marcedes_lewis,Marcedes Lewis,,UCLA,,TE,2012,2012,0,0,,false,,,{},3
nfl_andy_lee,Andy Lee,,Pittsburgh,,P,2011,2011,0,0,,false,,,{},0
nfl_calais_campbell,Calais Campbell,ARI,Miami (FL),,DT,2013,2025,0,0,,true,93,93,{},17
nfl_duane_brown,Duane Brown,,Virginia Tech,,OT,2013,2013,0,0,,false,,,{},0
nfl_muhsin_muhammad_ii,Muhsin Muhammad II,,Michigan State,,WR,2025,2025,0,0,,false,,,{},0
nfl_desean_jackson,DeSean Jackson,,California,,WR,2015,2015,0,0,,false,,,{},0
nfl_tom_brady,Tom Brady,,Michigan,,QB,2009,2009,0,0,,false,,,{},0
nfl_josh_johnson,Josh Johnson,WAS,San Diego,,QB,2020,2025,0,0,,true,14,14,{},0
nfl_matthew_slater,Matthew Slater,,UCLA,,WR,2013,2013,0,0,,false,,,{},0
nfl_brian_hoyer,Brian Hoyer,,Michigan State,,QB,2015,2015,0,0,,false,,,{},0
nfl_kevin_huber,Kevin Huber,,Cincinnati,,P,2018,2018,0,0,,false,,,{},0
nfl_ryan_succop,Ryan Succop,,South Carolina,,K,2015,2015,0,0,,false,,,{},0
nfl_jason_peters,Jason Peters,,Arkansas,,OT,2011,2011,0,0,,false,,,{},0
nfl_matthew_stafford,Matthew Stafford,LAR,Georgia,,QB,2013,2025,0,0,,true,9,9,{},16
nfl_jj_jansen,JJ Jansen,CAR,Notre Dame,,LS,2013,2025,0,0,,true,44,44,{},0
nfl_thomas_morstead,Thomas Morstead,SF,Southern Methodist,,P,2013,2025,0,0,,true,7,7,{},0
nfl_chase_daniel,Chase Daniel,,Missouri,,QB,2018,2018,0,0,,false,,,{},0
nfl_brett_kern,Brett Kern,,Toledo,,P,2014,2014,0,0,,false,,,{},0
nfl_graham_gano,Graham Gano,NYG,Florida State,,K,2014,2025,0,0,,true,9,9,{},0
nfl_devin_mccourty,Devin McCourty,,Rutgers,,DB,2018,2018,0,0,,false,,,{},0
nfl_morgan_cox,Morgan Cox,TEN,Tennessee,,LS,2014,2025,0,0,,true,46,46,{},0
nfl_carlos_dunlap,Carlos Dunlap,,Florida,,DE,2018,2018,0,0,,false,,,{},0
nfl_colt_mccoy,Colt McCoy,,Texas,,QB,2018,2018,0,0,,false,,,{},0
nfl_kareem_jackson,Kareem Jackson,,Alabama,,S,2015,2015,0,0,,false,,,{},0
nfl_jon_weeks,Jon Weeks,SF,Baylor,,LS,2014,2025,0,0,,true,46,46,{},0
nfl_jerry_hughes,Jerry Hughes,,TCU,,DE,2015,2015,0,0,,false,,,{},0
nfl_tyson_alualu,Tyson Alualu,,California,,DL,2018,2018,0,0,,false,,,{},0
nfl_jared_veldheer,Jared Veldheer,,Hillsdale (MI),,OT,2019,2019,0,0,,false,,,{},0
nfl_linval_joseph,Linval Joseph,,East Carolina,,DT,2014,2014,0,0,,false,,,{},0
nfl_brandon_graham,Brandon Graham,,Michigan,,DE,2015,2015,0,0,,false,,,{},1
nfl_ndamukong_suh,Ndamukong Suh,,Nebraska,,NT,2018,2018,0,0,,false,,,{},0
nfl_corey_peters,Corey Peters,,Kentucky,,DT,2018,2018,0,0,,false,,,{},0
nfl_jimmy_graham,Jimmy Graham,,Miami (FL),,TE,2018,2018,0,0,,false,,,{},0
nfl_rodger_saffold,Rodger Saffold,,Indiana,,G,2018,2018,0,0,,false,,,{},0
nfl_andre_roberts,Andre Roberts,,The Citadel,,WR,2018,2018,0,0,,false,,,{},0
nfl_nick_folk,Nick Folk,NYJ,Arizona,,K,2013,2025,0,0,,true,6,6,{},0
nfl_jason_pierre_paul,Jason Pierre-Paul,,South Florida,,LB,2018,2018,0,0,,false,,,{},0
nfl_trent_williams,Trent Williams,SF,Oklahoma,,OT,2014,2025,0,0,,true,71,71,{},10
nfl_clark_harris,Clark Harris,,Rutgers,,LS,2015,2015,0,0,,false,,,{},0
nfl_al_woods,Al Woods,,LSU,,DL,2018,2018,0,0,,false,,,{},0
nfl_jason_kelce,Jason Kelce,,Cincinnati,,C,2019,2019,0,0,,false,,,{},0
nfl_marcus_cannon,Marcus Cannon,,TCU,,OL,2019,2019,0,0,,false,,,{},0
nfl_nick_bellore,Nick Bellore,WAS,Central Michigan,,LB,2015,2025,0,0,,true,57,57,{},0
nfl_josh_bynes,Josh Bynes,,Auburn,,ILB,2019,2019,0,0,,false,,,{},0
nfl_tyrod_taylor,Tyrod Taylor,NYJ,Virginia Tech,,QB,2015,2025,0,0,,true,2,2,{},0
nfl_andy_dalton,Andy Dalton,CAR,TCU,,QB,2015,2025,0,0,,true,14,14,{},5
nfl_a_j_green,A.J. Green,,Georgia,,WR,2019,2019,0,0,,false,,,{},0
nfl_cameron_heyward,Cameron Heyward,PIT,Ohio State,,DT,2015,2025,0,0,,true,97,97,{},17
nfl_j_j_watt,J.J. Watt,,Wisconsin,,DE,2019,2019,0,0,,false,,,{},0
nfl_blaine_gabbert,Blaine Gabbert,,Missouri,,QB,2019,2019,0,0,,false,,,{},0
nfl_chris_harris_jr,Chris Harris Jr.,,Kansas,,S,2019,2019,0,0,,false,,,{},0
nfl_von_miller,Von Miller,WAS,Texas A&M,,LB,2015,2025,0,0,,true,24,24,{},0
nfl_jonathan_baldwin,Jonathan Baldwin,,Pittsburgh,,WR,2024,2024,0,0,,false,,,{},0
nfl_justin_houston,Justin Houston,,Georgia,,OLB,2019,2019,0,0,,false,,,{},0
nfl_rodney_hudson,Rodney Hudson,,Florida State,,OL,2019,2019,0,0,,false,,,{},0
nfl_taiwan_jones,Taiwan Jones,,Eastern Washington,,RB,2019,2019,0,0,,false,,,{},0
nfl_tyron_smith,Tyron Smith,,USC,,OL,2018,2018,0,0,,false,,,{},10
nfl_mario_addison,Mario Addison,,Troy,,DE,2019,2019,0,0,,false,,,{},0
nfl_randall_cobb,Randall Cobb,,Kentucky,,WR,2018,2018,0,0,,false,,,{},0
nfl_dj_williams,DJ Williams,,Arkansas,,TE,2023,2023,0,0,,false,,,{},0
nfl_kyle_rudolph,Kyle Rudolph,,Notre Dame,,TE,2019,2019,0,0,,false,,,{},0
nfl_julio_jones,Julio Jones,,Alabama,,WR,2018,2018,0,0,,false,,,{},0
nfl_mark_ingram_ii,Mark Ingram II,,Alabama,,RB,2019,2019,0,0,,false,,,{},0
nfl_cameron_jordan,Cameron Jordan,NO,California,,DE,2015,2025,0,0,,true,94,94,{},17
nfl_jake_mcquaide,Jake McQuaide,,Ohio State,,LS,2015,2015,0,0,,false,,,{},0
nfl_robert_quinn,Robert Quinn,,North Carolina,,DE,2019,2019,0,0,,false,,,{},0
nfl_patrick_peterson,Patrick Peterson,,LSU,,CB,2018,2018,0,0,,false,,,{},0
nfl_fletcher_cox,Fletcher Cox,,Mississippi State,,DT,2019,2019,0,0,,false,,,{},0
nfl_vinny_curry,Vinny Curry,,Marshall,,DL,2019,2019,0,0,,false,,,{},0
nfl_nick_foles,Nick Foles,,Arizona,,QB,2019,2019,0,0,,false,,,{},0
nfl_dennis_kelly,Dennis Kelly,,Purdue,,OT,2019,2019,0,0,,false,,,{},0
nfl_brandon_bolden,Brandon Bolden,,Mississippi,,RB,2019,2019,0,0,,false,,,{},0
nfl_chandler_jones,Chandler Jones,,Syracuse,,DE,2019,2019,0,0,,false,,,{},0
nfl_stephon_gilmore,Stephon Gilmore,,South Carolina,,CB,2019,2019,0,0,,false,,,{},15
nfl_ryan_tannehill,Ryan Tannehill,,Texas A&M,,QB,2019,2019,0,0,,false,,,{},0
nfl_demario_davis,Demario Davis,NO,Arkansas State,,LB,2018,2025,0,0,,true,56,56,{},16
nfl_marvin_jones_jr,Marvin Jones Jr.,,California,,WR,2019,2019,0,0,,false,,,{},0
nfl_mohamed_sanu,Mohamed Sanu,,Rutgers,,WR,2020,2020,0,0,,false,,,{},0
nfl_kevin_zeitler,Kevin Zeitler,TEN,Wisconsin,,G,2018,2025,0,0,,true,70,70,{},16
nfl_tashaun_gipson_sr,Tashaun Gipson Sr.,,Wyoming,,S,2019,2019,0,0,,false,,,{},0
nfl_kelvin_beachum,Kelvin Beachum,ARI,Southern Methodist,,OT,2018,2025,0,0,,true,68,68,{},12
nfl_randy_bullock,Randy Bullock,,Texas A&M,,K,2019,2019,0,0,,false,,,{},0
nfl_ben_jones,Ben Jones,,Georgia,,C,2019,2019,0,0,,false,,,{},0
nfl_t_y_hilton,T.Y. Hilton,,Florida International,,WR,2019,2019,0,0,,false,,,{},0
nfl_matt_overton,Matt Overton,,Western Washington,,LS,2020,2020,0,0,,false,,,{},0
nfl_bryan_anger,Bryan Anger,DAL,California,,P,2018,2025,0,0,,true,5,5,{},0
nfl_julian_stanford,Julian Stanford,,Wagner,,LB,2021,2021,0,0,,false,,,{},0
nfl_aaron_brewer,Aaron Brewer,ARI,San Diego State,,LS,2018,2025,0,0,,true,46,46,{},0
nfl_melvin_ingram,Melvin Ingram,,South Carolina,,LB,2019,2019,0,0,,false,,,{},0
nfl_cole_beasley,Cole Beasley,,Southern Methodist,,WR,2019,2019,0,0,,false,,,{},0
nfl_riley_reiff,Riley Reiff,,Iowa,,OL,2019,2019,0,0,,false,,,{},0
nfl_kirk_cousins,Kirk Cousins,ATL,Michigan State,,QB,2018,2025,0,0,,true,18,18,{},14
nfl_casey_hayward,Casey Hayward,,Vanderbilt,,CB,2019,2019,0,0,,false,,,{},0
nfl_josh_norman,Josh Norman,,Coastal Carolina,,CB,2020,2020,0,0,,false,,,{},0
nfl_akiem_hicks,Akiem Hicks,,Regina (Canada),,DL,2019,2019,0,0,,false,,,{},0
nfl_lavonte_david,Lavonte David,TB,Nebraska,,LB,2018,2025,0,0,,true,54,54,{},17
nfl_michael_brockers,Michael Brockers,,LSU,,DL,2019,2019,0,0,,false,,,{},0
nfl_johnny_hekker,Johnny Hekker,TEN,Oregon State,,P,2018,2025,0,0,,true,3,3,{},0
nfl_janoris_jenkins,Janoris Jenkins,,North Alabama,,CB,2020,2020,0,0,,false,,,{},0
nfl_rodney_mcleod_jr,Rodney McLeod Jr.,,Virginia,,S,2019,2019,0,0,,false,,,{},5
nfl_harrison_smith,Harrison Smith,MIN,Notre Dame,,S,2018,2025,0,0,,true,22,22,{},16
nfl_justin_bethel,Justin Bethel,,Presbyterian,,CB,2019,2019,0,0,,false,,,{},0
nfl_bobby_wagner,Bobby Wagner,WAS,Utah State,,ILB,2018,2025,0,0,,true,54,54,{},17
nfl_russell_wilson,Russell Wilson,NYG,Wisconsin,,QB,2018,2025,0,0,,true,3,3,{},11
nfl_josh_harris,Josh Harris,LAC,Auburn,,LS,2018,2025,0,0,,true,47,47,{},0
nfl_bruce_irvin,Bruce Irvin,,West Virginia,,DL,2019,2019,0,0,,false,,,{},0
nfl_josh_gordon,Josh Gordon,,Baylor,,WR,2022,2022,0,0,,false,,,{},0
nfl_justin_tucker,Justin Tucker,,Texas,,K,2018,2018,0,0,,false,,,{},0
nfl_greg_zuerlein,Greg Zuerlein,,Missouri Western State,,K,2018,2018,0,0,,false,,,{},0
nfl_ty_nsekhe,Ty Nsekhe,,Texas State,,OT,2020,2020,0,0,,false,,,{},0
nfl_lawrence_guy_sr,Lawrence Guy Sr.,,Arizona State,,DT,2015,2015,0,0,,false,,,{},2
nfl_tom_compton,Tom Compton,,South Dakota,,OL,2020,2020,0,0,,false,,,{},0
